S No.,Tag,URL,Names,title,Year
83,Ryan Hamilton Stand-Up – The Tonight Show Starring Jimmy Fallon (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/09/25/ryan-hamilton-stand-up-the-tonight-show-starring-jimmy-fallon-transcript/,Ryan Hamilton Stand,Ryan Hamilton Stand,2019.0
84,Mark Normand Stand-Up – The Tonight Show Starring Jimmy Fallon (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/09/21/mark-normand-stand-up-tonight-show-starring-jimmy-fallon/,Mark Normand Stand,Mark Normand Stand,2019.0
85,George Carlin: Dumb Americans (2006) – Full Transcript,https://scrapsfromtheloft.com/2019/09/12/george-carlin-dumb-americans-transcript/,George Carlin,George Carlin: Dumb Americans ,2006.0
86,Bill Burr: Paper Tiger (2019) – Transcript,https://scrapsfromtheloft.com/2019/09/10/bill-burr-paper-tiger-transcript/,Bill Burr,Bill Burr: Paper Tiger ,2019.0
87,Dave Chappelle: Sticks & Stones | Epilogue: The Punchline – Transcript,https://scrapsfromtheloft.com/2019/08/29/dave-chappelle-sticks-stones-epilogue-punchline-transcript/,Dave Chappelle,Dave Chappelle: Sticks ,
88,"Brazil, Corruption and the Amazon Rainforest | Patriot Act with Hasan Minhaj – Full Transcript",https://scrapsfromtheloft.com/2019/08/26/brazil-corruption-amazon-hasan-minhaj/,Brazil,"Brazil, Corruption and the Amazon Rainforest ",
89,Dave Chappelle: Sticks & Stones (2019) – Transcript,https://scrapsfromtheloft.com/2019/08/26/dave-chappelle-sticks-stones-transcript/,Dave Chappelle,Dave Chappelle: Sticks ,2019.0
90,Emily Heller: Ice Thickeners (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/08/25/emily-heller-ice-thickeners-transcript/,Emily Heller,Emily Heller: Ice Thickeners ,2019.0
91,David Cross: Oh Come On (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/08/13/david-cross-oh-come-on-transcript/,David Cross,David Cross: Oh Come On ,2019.0
92,Kevin Hart: Gun Compartment [Transcript],https://scrapsfromtheloft.com/2019/08/08/kevin-hart-gun-compartment-transcript/,Kevin Hart,Kevin Hart: Gun Compartment ,
93,Whitney Cummings: Can I Touch It? (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/08/01/whitney-cummings-can-i-touch-it-transcript/,Whitney Cummings,Whitney Cummings: Can I Touch It? ,2019.0
94,Eddie Griffin: The Black Man’s Bible (1994) – Transcript,https://scrapsfromtheloft.com/2019/07/24/eddie-griffin-bible-negro-version-transcript/,Eddie Griffin,Eddie Griffin: The Black Man’s Bible ,1994.0
95,Tom Segura Overdoses – This Is Not Happening [Transcript],https://scrapsfromtheloft.com/2019/07/14/tom-segura-overdoses-this-is-not-happening-transcript/,Tom Segura Overdoses ,Tom Segura Overdoses ,
96,Aziz Ansari: Right Now (2019) – Transcript,https://scrapsfromtheloft.com/2019/07/10/aziz-ansari-right-now-transcript/,Aziz Ansari,Aziz Ansari: Right Now ,2019.0
97,Ralphie May: Filthy Animal Tour (2014) – Transcript,https://scrapsfromtheloft.com/2019/07/07/ralphie-may-filthy-animal-tour-transcript/,Ralphie May,Ralphie May: Filthy Animal Tour ,2014.0
98,Protected: Katherine Ryan: In Trouble (2017) – Full Transcript,https://scrapsfromtheloft.com/2019/07/06/katherine-ryan-in-trouble-transcript/,Protected,Protected: Katherine Ryan: In Trouble ,2017.0
99,Protected: Katherine Ryan: Glitter Room (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/07/05/katherine-ryan-glitter-room-transcript/,Protected,Protected: Katherine Ryan: Glitter Room ,2019.0
100,Mike Epps: Only One Mike (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/06/27/mike-epps-only-one-mike-transcript/,Mike Epps,Mike Epps: Only One Mike ,2019.0
101,Adam DeVine: Best Time of Our Lives (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/06/22/adam-devine-best-time-of-our-lives-transcript/,Adam DeVine,Adam DeVine: Best Time of Our Lives ,2019.0
102,Jo Koy: Live from Seattle (2017) – Full Transcript,https://scrapsfromtheloft.com/2019/06/16/jo-koy-live-from-seattle-transcript/,Jo Koy,Jo Koy: Live from Seattle ,2017.0
103,Jo Koy: Comin’ in Hot (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/06/15/jo-ko-comin-in-hot-transcript/,Jo Koy,Jo Koy: Comin’ in Hot ,2019.0
104,The Standups: Gina Yashere (2018) – Full Transcript,https://scrapsfromtheloft.com/2019/06/02/the-standups-gina-yashere-2018-transcript/,The Standups,The Standups: Gina Yashere ,2018.0
105,Wanda Sykes: Not Normal (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/05/22/wanda-sykes-not-normal-transcript/,Wanda Sykes,Wanda Sykes: Not Normal ,2019.0
106,Doug Stanhope on babies and abortion,https://scrapsfromtheloft.com/2019/05/18/doug-stanhope-babies-and-abortion/,Doug Stanhope on babies and abortion,Doug Stanhope on babies and abortion,
107,Cedric the Entertainer: Live from the Ville (2016) – Transcript,https://scrapsfromtheloft.com/2019/05/17/cedric-the-entertainer-live-from-the-ville-transcript/,Cedric the Entertainer,Cedric the Entertainer: Live from the Ville ,2016.0
108,Eddie Murphy: Raw (1987) – Transcript,https://scrapsfromtheloft.com/2019/05/16/eddie-murphy-raw-transcript/,Eddie Murphy,Eddie Murphy: Raw ,1987.0
109,Colin Quinn: The New York Story (2016) – Full Transcript,https://scrapsfromtheloft.com/2019/05/16/colin-quinn-the-new-york-story-transcript/,Colin Quinn,Colin Quinn: The New York Story ,2016.0
110,Demetri Martin: Live (At The Time) (2015) – Full Transcript,https://scrapsfromtheloft.com/2019/05/15/demetri-martin-live-at-the-time-transcript/,Demetri Martin,Demetri Martin: Live ,2015.0
111,George Carlin: What Am I Doing in New Jersey? (1988) – Full Transcript,https://scrapsfromtheloft.com/2019/05/14/george-carlin-what-am-i-doing-in-new-jersey-transcript/,George Carlin,George Carlin: What Am I Doing in New Jersey? ,1988.0
112,Chelsea Peretti: One of the Greats (2014) – Full Transcript,https://scrapsfromtheloft.com/2019/05/14/chelsea-peretti-one-of-the-greats-transcript/,Chelsea Peretti,Chelsea Peretti: One of the Greats ,2014.0
113,ANTHONY JESELNIK: FIRE IN THE MATERNITY WARD (2019) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2019/05/02/anthony-jeselnik-fire-in-the-maternity-ward-transcript/,ANTHONY JESELNIK,ANTHONY JESELNIK: FIRE IN THE MATERNITY WARD ,2019.0
114,Roy Wood Jr.: No One Loves You (2019) – Transcript,https://scrapsfromtheloft.com/2019/04/30/roy-wood-jr-no-one-loves-you-transcript/,Roy Wood Jr.,Roy Wood Jr.: No One Loves You ,2019.0
115,Robin Williams: Weapons of Self Destruction (2009) – Full Transcript,https://scrapsfromtheloft.com/2019/04/30/robin-williams-weapons-of-self-destruction-transcript/,Robin Williams,Robin Williams: Weapons of Self Destruction ,2009.0
116,ROBIN WILLIAMS LIVE ON BROADWAY (2002) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2019/04/19/robin-williams-live-on-broadway-2002-full-transcript/,ROBIN WILLIAMS LIVE ON BROADWAY ,ROBIN WILLIAMS LIVE ON BROADWAY ,2002.0
117,Jimmy Carr: The Best of Ultimate Gold Greatest Hits (2019) – Full Transcript,https://scrapsfromtheloft.com/2019/04/14/jimmy-carr-the-best-of-ultimate-gold-greatest-hits-transcript/,Jimmy Carr,Jimmy Carr: The Best of Ultimate Gold Greatest Hits ,2019.0
